t	N	x	E	sin(t)
1.000010e+01	1.000002e+00	4.541693e-01	5.448381e+00	8.036407e-01
2.000020e+01	1.000012e+00	4.942754e-01	5.026841e+00	9.565170e-01
3.000030e+01	1.000016e+00	4.529289e-01	5.284923e+00	3.348343e-01
4.000040e+01	1.000013e+00	5.517501e-01	5.237014e+00	-5.579873e-01
5.000050e+01	1.000003e+00	5.168528e-01	5.055270e+00	-9.989673e-01
6.000060e+01	9.999978e-01	5.263179e-01	5.437860e+00	-6.310133e-01
7.000070e+01	1.000001e+00	5.044786e-01	4.938146e+00	2.479165e-01
8.000080e+01	1.000009e+00	4.391717e-01	5.453412e+00	9.260909e-01
9.000090e+01	1.000016e+00	5.028801e-01	5.001038e+00	8.543444e-01
1.000010e+02	1.000013e+00	4.638974e-01	5.330632e+00	9.077521e-02
1.100011e+02	1.000005e+00	5.501570e-01	5.190371e+00	-7.463011e-01
1.200012e+02	9.999980e-01	5.288644e-01	5.087204e+00	-9.790449e-01
1.300013e+02	9.999990e-01	5.047879e-01	5.419195e+00	-4.189873e-01
1.400014e+02	1.000008e+00	5.073561e-01	4.948848e+00	4.803538e-01
1.500015e+02	1.000014e+00	4.306681e-01	5.455724e+00	9.907187e-01
1.600016e+02	1.000015e+00	5.079520e-01	4.977842e+00	6.988290e-01
1.700017e+02	1.000007e+00	4.802759e-01	5.370553e+00	-1.589516e-01
1.800018e+02	9.999989e-01	5.432277e-01	5.147522e+00	-8.880179e-01
1.900019e+02	9.999982e-01	5.397806e-01	5.123721e+00	-8.979937e-01
2.000020e+02	1.000005e+00	4.839557e-01	5.391009e+00	-1.808009e-01
2.100021e+02	1.000014e+00	5.073287e-01	4.965210e+00	6.827992e-01
2.200022e+02	1.000015e+00	4.297677e-01	5.457156e+00	9.934887e-01
2.300023e+02	1.000009e+00	5.092460e-01	4.958185e+00	4.996806e-01
2.400024e+02	9.999999e-01	5.003389e-01	5.402111e+00	-3.987540e-01
2.500025e+02	9.999975e-01	5.325803e-01	5.109481e+00	-9.742895e-01
2.600026e+02	1.000004e+00	5.475719e-01	5.165344e+00	-7.608743e-01
2.700027e+02	1.000012e+00	4.662846e-01	5.353756e+00	6.867422e-02
2.800028e+02	1.000016e+00	5.036726e-01	4.985713e+00	8.426124e-01
2.900029e+02	1.000010e+00	4.366308e-01	5.457824e+00	9.342282e-01
3.000030e+02	1.000002e+00	5.072628e-01	4.943610e+00	2.693338e-01
3.100031e+02	9.999976e-01	5.217213e-01	5.424430e+00	-6.136591e-01
3.200032e+02	1.000002e+00	5.202269e-01	5.075917e+00	-9.997291e-01
3.300033e+02	1.000012e+00	5.504955e-01	5.211335e+00	-5.762482e-01
3.400034e+02	1.000016e+00	4.537335e-01	5.309760e+00	3.138613e-01
3.500035e+02	1.000013e+00	4.964010e-01	5.009297e+00	9.498153e-01
3.600036e+02	1.000003e+00	4.503394e-01	5.456114e+00	8.166372e-01
3.700037e+02	9.999977e-01	5.031594e-01	4.935623e+00	2.217059e-02
3.800038e+02	1.000001e+00	5.417814e-01	5.438560e+00	-7.902490e-01
3.900039e+02	1.000010e+00	5.082224e-01	5.045745e+00	-9.627485e-01
4.000040e+02	1.000016e+00	5.474316e-01	5.259497e+00	-3.556429e-01
4.100041e+02	1.000013e+00	4.474260e-01	5.262491e+00	5.394517e-01
4.200042e+02	1.000006e+00	4.862823e-01	5.035785e+00	9.977145e-01
4.300043e+02	9.999984e-01	4.691500e-01	5.449249e+00	6.480577e-01
4.400044e+02	9.999998e-01	4.984768e-01	4.935057e+00	-2.263768e-01
4.500045e+02	1.000009e+00	5.579114e-01	5.446889e+00	-9.174982e-01
4.600046e+02	1.000015e+00	4.983632e-01	5.017968e+00	-8.656568e-01
4.700047e+02	1.000016e+00	5.380840e-01	5.306480e+00	-1.128323e-01
4.800048e+02	1.000007e+00	4.475754e-01	5.215591e+00	7.313604e-01
4.900049e+02	9.999995e-01	4.747769e-01	5.065872e+00	9.833193e-01
5.000050e+02	9.999994e-01	4.906239e-01	5.434423e+00	4.390155e-01
5.100051e+02	1.000006e+00	4.948548e-01	4.941732e+00	-4.607900e-01
5.200052e+02	1.000015e+00	5.680085e-01	5.452201e+00	-9.874614e-01
5.300053e+02	1.000016e+00	4.918645e-01	4.992347e+00	-7.145160e-01
5.400054e+02	1.000010e+00	5.230780e-01	5.348701e+00	1.370232e-01
5.500055e+02	1.000000e+00	4.534804e-01	5.171824e+00	8.776051e-01
5.600056e+02	9.999984e-01	4.637655e-01	5.100628e+00	9.075285e-01
5.700057e+02	1.000005e+00	5.120870e-01	5.409864e+00	2.025624e-01
5.800058e+02	1.000013e+00	4.937212e-01	4.954576e+00	-6.664328e-01
5.900059e+02	1.000017e+00	5.706733e-01	5.456473e+00	-9.957705e-01
6.000060e+02	1.000011e+00	4.892279e-01	4.969647e+00	-5.187630e-01
6.100061e+02	1.000002e+00	5.039425e-01	5.383309e+00	3.783234e-01
6.200062e+02	9.999982e-01	4.636746e-01	5.132522e+00	9.690547e-01
6.300063e+02	1.000003e+00	4.552851e-01	5.140718e+00	7.750744e-01
6.400064e+02	1.000013e+00	5.309287e-01	5.375654e+00	-4.653809e-02
6.500065e+02	1.000016e+00	4.959857e-01	4.972142e+00	-8.304654e-01
6.600066e+02	1.000013e+00	5.655354e-01	5.460110e+00	-9.419066e-01
6.700067e+02	1.000003e+00	4.901726e-01	4.951395e+00	-2.906198e-01
6.800068e+02	9.999982e-01	4.828653e-01	5.409093e+00	5.960022e-01
6.900069e+02	1.000002e+00	4.762066e-01	5.097551e+00	9.999994e-01
7.000070e+02	1.000010e+00	4.511625e-01	5.185700e+00	5.942269e-01
7.100071e+02	1.000017e+00	5.450268e-01	5.333770e+00	-2.927329e-01
7.200072e+02	1.000013e+00	5.018821e-01	4.993268e+00	-9.426463e-01
7.300073e+02	1.000005e+00	5.532056e-01	5.461690e+00	-8.292328e-01
7.400074e+02	9.999982e-01	4.937275e-01	4.939259e+00	-4.433128e-02
7.500075e+02	1.000000e+00	4.624644e-01	5.426695e+00	7.764684e-01
7.600076e+02	1.000009e+00	4.889619e-01	5.065876e+00	9.685070e-01
7.700077e+02	1.000015e+00	4.526942e-01	5.233660e+00	3.762776e-01
7.800078e+02	1.000015e+00	5.529881e-01	5.287579e+00	-5.206503e-01
7.900079e+02	1.000006e+00	5.108690e-01	5.017590e+00	-9.959710e-01
8.000080e+02	9.999989e-01	5.352798e-01	5.458522e+00	-6.647841e-01
8.100081e+02	9.999989e-01	4.984408e-01	4.934374e+00	2.047252e-01
8.200082e+02	1.000006e+00	4.453469e-01	5.438282e+00	9.084541e-01
8.300083e+02	1.000015e+00	5.000115e-01	5.036374e+00	8.765440e-01
8.400084e+02	1.000015e+00	4.604136e-01	5.281485e+00	1.348346e-01
8.500085e+02	1.000008e+00	5.543603e-01	5.240785e+00	-7.160598e-01
8.600086e+02	9.999994e-01	5.217042e-01	5.045630e+00	-9.871103e-01
8.700087e+02	9.999979e-01	5.140252e-01	5.447624e+00	-4.588283e-01
8.800088e+02	1.000005e+00	5.026661e-01	4.936903e+00	4.409992e-01
8.900089e+02	1.000013e+00	4.337968e-01	5.446551e+00	9.837187e-01
9.000090e+02	1.000016e+00	5.079158e-01	5.008593e+00	7.298521e-01
9.100091e+02	1.000009e+00	4.739421e-01	5.325578e+00	-1.150270e-01
9.200092e+02	1.000001e+00	5.496065e-01	5.196425e+00	-8.667607e-01
9.300093e+02	9.999974e-01	5.326242e-01	5.078399e+00	-9.166173e-01
9.400094e+02	1.000003e+00	4.921363e-01	5.426925e+00	-2.242246e-01
9.500095e+02	1.000012e+00	5.048712e-01	4.946042e+00	6.497386e-01
9.600096e+02	1.000015e+00	4.293752e-01	5.453648e+00	9.975627e-01
9.700097e+02	1.000011e+00	5.119438e-01	4.983119e+00	5.375903e-01
9.800098e+02	1.000002e+00	4.920068e-01	5.362929e+00	-3.577067e-01
9.900099e+02	9.999972e-01	5.400331e-01	5.156120e+00	-9.633435e-01
