t	N	x	E	sin(t)
1.000000e+02	1.000016e+00	5.009462e-01	4.935530e+00	9.008578e-01
2.000000e+02	9.999986e-01	4.988553e-01	4.936491e+00	-7.821505e-01
3.000000e+02	1.000014e+00	5.007136e-01	4.935807e+00	-2.217728e-01
4.000000e+02	1.000001e+00	4.995764e-01	4.934479e+00	9.747000e-01
5.000000e+02	1.000011e+00	5.009020e-01	4.933980e+00	-6.244876e-01
6.000000e+02	1.000005e+00	4.981644e-01	4.935656e+00	-4.325032e-01
7.000000e+02	1.000007e+00	5.024013e-01	4.937593e+00	9.999984e-01
8.000000e+02	1.000009e+00	4.978881e-01	4.936504e+00	-4.357221e-01
9.000000e+02	1.000003e+00	5.014447e-01	4.934147e+00	-6.216929e-01
1.000000e+03	1.000013e+00	4.987834e-01	4.933448e+00	9.754924e-01
1.100000e+03	9.999995e-01	5.017378e-01	4.934883e+00	-2.252556e-01
1.200000e+03	1.000016e+00	4.976217e-01	4.937316e+00	-7.799195e-01
1.300000e+03	9.999978e-01	5.023618e-01	4.937185e+00	9.024025e-01
1.400000e+03	1.000016e+00	4.984343e-01	4.934821e+00	-3.570341e-03
1.500000e+03	9.999980e-01	5.007441e-01	4.933829e+00	-8.993026e-01
1.600000e+03	1.000015e+00	4.994013e-01	4.934850e+00	7.843688e-01
1.700000e+03	1.000000e+00	5.010708e-01	4.936213e+00	2.182927e-01
1.800000e+03	1.000013e+00	4.986673e-01	4.936529e+00	-9.738964e-01
1.900000e+03	1.000003e+00	5.008116e-01	4.935026e+00	6.272700e-01
2.000000e+03	1.000009e+00	5.002373e-01	4.934552e+00	4.292838e-01
2.100000e+03	1.000008e+00	4.990690e-01	4.935888e+00	-9.999856e-01
2.200000e+03	1.000004e+00	5.008328e-01	4.936320e+00	4.389426e-01
2.300000e+03	1.000012e+00	4.996441e-01	4.935439e+00	6.188769e-01
2.400000e+03	1.000001e+00	5.003695e-01	4.934241e+00	-9.762780e-01
2.500000e+03	1.000015e+00	4.988751e-01	4.934365e+00	2.287695e-01
2.600000e+03	9.999983e-01	5.020452e-01	4.936486e+00	7.776506e-01
2.700000e+03	1.000016e+00	4.977089e-01	4.937502e+00	-9.039590e-01
2.800000e+03	9.999977e-01	5.017868e-01	4.935555e+00	7.205310e-03
2.900000e+03	1.000016e+00	4.987782e-01	4.933697e+00	8.977030e-01
3.000000e+03	9.999990e-01	5.013482e-01	4.933691e+00	-7.866295e-01
3.100000e+03	1.000014e+00	4.979528e-01	4.935857e+00	-2.147176e-01
3.200000e+03	1.000002e+00	5.025422e-01	4.937732e+00	9.730565e-01
3.300000e+03	1.000010e+00	4.978032e-01	4.936440e+00	-6.301317e-01
3.400000e+03	1.000006e+00	5.013161e-01	4.934124e+00	-4.259492e-01
3.500000e+03	1.000006e+00	4.992775e-01	4.933949e+00	9.999590e-01
3.600000e+03	1.000010e+00	5.009101e-01	4.935296e+00	-4.422580e-01
3.700000e+03	1.000002e+00	4.985904e-01	4.936658e+00	-6.159717e-01
3.800000e+03	1.000014e+00	5.014073e-01	4.936269e+00	9.770710e-01
3.900000e+03	9.999991e-01	4.994082e-01	4.934596e+00	-2.323632e-01
4.000000e+03	1.000016e+00	4.995947e-01	4.934857e+00	-7.753234e-01
4.100000e+03	9.999977e-01	5.007985e-01	4.936058e+00	9.055321e-01
4.200000e+03	1.000016e+00	4.995508e-01	4.936107e+00	-1.089835e-02
4.300000e+03	9.999982e-01	5.000965e-01	4.935105e+00	-8.960697e-01
4.400000e+03	1.000015e+00	4.995674e-01	4.934151e+00	7.889044e-01
4.500000e+03	1.000001e+00	5.013921e-01	4.934949e+00	2.111091e-01
4.600000e+03	1.000012e+00	4.978624e-01	4.937127e+00	-9.721984e-01
4.700000e+03	1.000004e+00	5.020806e-01	4.936938e+00	6.329951e-01
4.800000e+03	1.000008e+00	4.985393e-01	4.934758e+00	4.226049e-01
4.900000e+03	1.000008e+00	5.011505e-01	4.933469e+00	-9.999188e-01
5.000000e+03	1.000004e+00	4.984159e-01	4.934278e+00	4.455674e-01
5.100000e+03	1.000012e+00	5.023450e-01	4.936821e+00	6.130581e-01
5.200000e+03	1.000000e+00	4.974440e-01	4.937676e+00	-9.778507e-01
5.300000e+03	1.000015e+00	5.019529e-01	4.935501e+00	2.359537e-01
5.400000e+03	9.999981e-01	4.988965e-01	4.933710e+00	7.729856e-01
5.500000e+03	1.000016e+00	5.008471e-01	4.934248e+00	-9.070928e-01
5.600000e+03	9.999978e-01	4.987335e-01	4.935849e+00	1.459124e-02
5.700000e+03	1.000016e+00	5.016791e-01	4.936965e+00	8.944241e-01
5.800000e+03	9.999994e-01	4.986659e-01	4.935716e+00	-7.911685e-01
5.900000e+03	1.000013e+00	5.003504e-01	4.934390e+00	-2.074977e-01
6.000000e+03	1.000003e+00	5.004913e-01	4.935164e+00	9.713269e-01
6.100000e+03	1.000010e+00	4.994573e-01	4.936128e+00	-6.358499e-01
6.200000e+03	1.000007e+00	5.000946e-01	4.935878e+00	-4.192549e-01
6.300000e+03	1.000005e+00	5.000405e-01	4.934846e+00	9.998649e-01
6.400000e+03	1.000011e+00	5.006258e-01	4.934208e+00	-4.488706e-01
6.500000e+03	1.000001e+00	4.983826e-01	4.935712e+00	-6.101362e-01
6.600000e+03	1.000014e+00	5.021063e-01	4.937344e+00	9.786170e-01
6.700000e+03	9.999987e-01	4.982374e-01	4.936164e+00	-2.395410e-01
6.800000e+03	1.000016e+00	5.012014e-01	4.934171e+00	-7.706373e-01
6.900000e+03	9.999977e-01	4.987995e-01	4.933499e+00	9.086412e-01
7.000000e+03	1.000016e+00	5.018961e-01	4.935151e+00	-1.828392e-02
7.100000e+03	9.999986e-01	4.974549e-01	4.937530e+00	-8.927663e-01
7.200000e+03	1.000014e+00	5.024461e-01	4.937150e+00	7.934219e-01
7.300000e+03	1.000001e+00	4.983474e-01	4.934567e+00	2.038835e-01
7.400000e+03	1.000011e+00	5.009953e-01	4.933618e+00	-9.704423e-01
7.500000e+03	1.000005e+00	4.989366e-01	4.934666e+00	6.386960e-01
7.600000e+03	1.000007e+00	5.016215e-01	4.936514e+00	4.158991e-01
7.700000e+03	1.000009e+00	4.982010e-01	4.936909e+00	-9.997974e-01
7.800000e+03	1.000003e+00	5.011604e-01	4.935099e+00	4.521678e-01
7.900000e+03	1.000013e+00	4.998766e-01	4.934383e+00	6.072059e-01
8.000000e+03	9.999997e-01	4.995732e-01	4.935451e+00	-9.793700e-01
8.100000e+03	1.000015e+00	5.002112e-01	4.936128e+00	2.431250e-01
8.200000e+03	9.999979e-01	5.002161e-01	4.935693e+00	7.682803e-01
8.300000e+03	1.000016e+00	4.999769e-01	4.934613e+00	-9.101612e-01
8.400000e+03	9.999980e-01	4.991305e-01	4.934487e+00	2.190170e-02
8.500000e+03	1.000015e+00	5.017723e-01	4.936445e+00	8.911466e-01
8.600000e+03	9.999999e-01	4.980802e-01	4.937090e+00	-7.955757e-01
8.700000e+03	1.000013e+00	5.014122e-01	4.935414e+00	-2.004452e-01
8.800000e+03	1.000003e+00	4.989845e-01	4.933761e+00	9.695978e-01
8.900000e+03	1.000009e+00	5.013702e-01	4.933862e+00	-6.413384e-01
9.000000e+03	1.000007e+00	4.978193e-01	4.936114e+00	-4.128019e-01
9.100000e+03	1.000005e+00	5.026271e-01	4.937839e+00	9.997239e-01
9.200000e+03	1.000011e+00	4.977906e-01	4.936239e+00	-4.551365e-01
9.300000e+03	1.000001e+00	5.013939e-01	4.933897e+00	-6.045843e-01
9.400000e+03	1.000015e+00	4.989941e-01	4.933750e+00	9.800234e-01
9.500000e+03	9.999984e-01	5.013786e-01	4.935290e+00	-2.462505e-01
9.600000e+03	1.000016e+00	4.981003e-01	4.937093e+00	-7.662341e-01
9.700000e+03	9.999977e-01	5.017890e-01	4.936481e+00	9.114782e-01
9.800000e+03	1.000016e+00	4.990938e-01	4.934583e+00	-2.509133e-02
9.900000e+03	9.999989e-01	4.999951e-01	4.934526e+00	-8.896945e-01
1.000000e+04	1.000014e+00	5.002329e-01	4.935697e+00	7.975046e-01
